Date,Low,High,Open,Volume,Symbol,Price,Chg%
2016-03-21,1345.5,1374.5,1345.5,198830,britannia,1367.47,0.0183
2016-03-22,1362.5,1389.95,1368.0,241610,britannia,1375.75,0.0060999999999999
2016-03-23,1352.65,1381.05,1377.58,216970,britannia,1362.65,-0.0095
2016-03-28,1300.62,1380.0,1372.78,564340,britannia,1312.8,-0.0366
2016-03-29,1259.53,1312.5,1307.5,391990,britannia,1291.58,-0.0162
2016-03-30,1295.08,1324.5,1309.75,523350,britannia,1319.25,0.0214
2016-03-31,1307.75,1352.45,1312.7,692930,britannia,1343.25,0.0182
2016-04-01,1330.75,1358.95,1330.75,353070,britannia,1339.53,-0.0028
2016-04-04,1325.0,1351.78,1350.0,368800,britannia,1329.6,-0.0074
2016-04-05,1303.58,1328.12,1325.0,428200,britannia,1320.67,-0.0067
2016-04-06,1320.67,1361.97,1320.67,967300,britannia,1353.6,0.0249
2016-04-07,1339.55,1360.53,1355.05,204210,britannia,1350.58,-0.0022
2016-04-08,1340.55,1357.75,1345.5,276710,britannia,1343.4,-0.0053
2016-04-11,1322.5,1353.83,1348.4,430040,britannia,1328.47,-0.0111
2016-04-12,1325.1,1369.2,1342.5,705890,britannia,1352.88,0.0184
2016-04-13,1354.3,1392.5,1354.3,520830,britannia,1380.55,0.0204999999999999
2016-04-18,1385.25,1428.0,1385.25,617240,britannia,1425.33,0.0324
2016-04-20,1413.75,1443.92,1422.5,626890,britannia,1422.65,-0.0019
2016-04-21,1390.0,1435.0,1423.85,355370,britannia,1393.92,-0.0202
2016-04-22,1394.38,1415.0,1396.5,289740,britannia,1411.3,0.0125
2016-04-25,1400.0,1418.5,1406.5,342510,britannia,1408.55,-0.0019
2016-04-26,1398.1,1424.0,1410.03,271580,britannia,1418.65,0.0072
2016-04-27,1415.3,1437.97,1415.3,334870,britannia,1430.7,0.0085
2016-04-28,1406.0,1459.0,1437.5,808750,britannia,1412.78,-0.0125
2016-04-29,1413.0,1448.0,1413.5,282590,britannia,1431.3,0.0131
2016-05-02,1417.5,1435.97,1428.0,148640,britannia,1429.2,-0.0015
2016-05-03,1417.5,1449.95,1430.7,439890,britannia,1423.55,-0.004
2016-05-04,1401.97,1428.95,1423.5,228920,britannia,1408.88,-0.0103
2016-05-05,1405.05,1426.0,1408.5,113140,britannia,1410.72,0.0013
2016-05-06,1406.0,1423.5,1414.0,127560,britannia,1408.65,-0.0015
